Idiom ID,English Idiom,English Sentence,Urdu Native Idiom,Target A (Native Idiomatic),Target B (Native Descriptive),Target C (Native Literal),Roman Urdu Idiom,Target A (Roman Idiomatic),Target B (Roman Descriptive),Target C (Roman Literal)
16,below the belt,His comments during the debate were clearly below the belt and not appropriate for the occasion.,نیچ حرکت,بحث کے دوران اس کے تبصرے واقعی نیچ حرکت تھے اور موقع کے لحاظ سے مناسب نہیں تھے۔,بحث کے دوران اس کے تبصرے بہت غیر منصفانہ اور موقع کے لحاظ سے نامناسب تھے۔,بحث کے دوران اس کے تبصرے واضح طور پر پٹّے کے نیچے تھے اور موقع کے لیے مناسب نہیں تھے۔,neech harkat,Behas ke dauran us ke tabsaray waqai neech harkat thay aur mauqe ke lehaaz se munasib nahi thay.,Behas ke dauran us ke tabsaray bohat ghair insaafiana aur mauqe ke lehaaz se na munasib thay.,Behas ke dauran us ke tabsaray wazeh tor par patte ke neeche thay aur mauqe ke liye munasib nahi thay.
17,bet your bottom dollar,I bet my bottom dollar that she will win the competition.,سولہ آنے یقین ہونا,مجھے سولہ آنے یقین ہے کہ وہ مقابلہ جیتے گی۔,مجھے پورا یقین ہے کہ وہ مقابلہ جیتے گی۔,میں اپنی آخری رقم کی شرط لگاتا ہوں کہ وہ مقابلہ جیتے گی۔,Sola aane yaqeen hona,Mujhe Sola aane yaqeen hai ke woh muqabla jeetay gi.,Mujhe poora yaqeen hai ke woh muqabla jeetay gi.,Main apni aakhri raqam ki shart lagata hoon ke woh muqabla jeetay gi.
18,build castles in the air,"Although he had no experience in the industry, he continued to build castles in the air about his future as a successful entrepreneur.",خیالی پلاؤ پکانا,"اگرچہ اسے اس صنعت کا کوئی تجربہ نہیں تھا، پھر بھی وہ اپنے مستقبل کے کامیاب کاروباری ہونے کے بارے میں خیالی پلاؤ پکاتا رہا۔","اگرچہ اسے اس صنعت کا کوئی تجربہ نہیں تھا، پھر بھی وہ اپنے مستقبل کے بارے میں غیر حقیقی خواب دیکھتا رہا کہ وہ ایک کامیاب کاروباری بن جائے گا۔","اگرچہ اسے اس صنعت کا کوئی تجربہ نہیں تھا، پھر بھی وہ ہوا میں محل بناتا رہا کہ وہ ایک کامیاب کاروباری بنے گا۔",Khayali pulao pakana,"Agarchay usay us san'at ka koi tajurba nahi tha, phir bhi woh apne mustaqbil ke kamyab karobari honay ke bare mein Khayali pulao pakata raha.","Agarchay usay us san'at ka koi tajurba nahi tha, phir bhi woh apne mustaqbil ke bare mein ghair haqeeqi khwab dekhta raha ke woh ek kamyab karobari ban jaye ga.","Agarchay usay us san'at ka koi tajurba nahi tha, phir bhi woh hawa mein mahal banata raha ke woh ek kamyab karobari banay ga."
19,bite someone's head off,"I just asked her a simple question, and she bit my head off.",کھانے کو دوڑنا,"میں نے تو اس سے ایک سادہ سا سوال پوچھا تھا، اور وہ مجھ پر کھانے کو دوڑ پڑی۔","میں نے اس سے صرف ایک آسان سا سوال پوچھا، اور وہ مجھ پر غصے سے چلانے لگی۔","میں نے اس سے ایک سادہ سا سوال پوچھا، اور اس نے میرا سر کاٹ لیا۔",Khaane ko daurna,"Main ne to us se ek saada sa sawal poocha tha, aur woh mujh par khaane ko daur padi.","Main ne us se sirf ek aasan sa sawal poocha, aur woh mujh par gusse se chillane lagi.","Main ne us se ek saada sa sawal poocha, aur us ne mera sar kaat liya."
20,bite the bullet,I know I have to bite the bullet and finish this project by the deadline.,کڑوا گھونٹ پینا,مجھے معلوم ہے کہ مجھے کڑوا گھونٹ پینا ہوگا اور اس منصوبے کو مقررہ وقت تک مکمل کرنا ہوگا۔,مجھے معلوم ہے کہ مجھے اس ناخوشگوار کام کا سامنا کرنا ہے اور اس منصوبے کو وقت پر ختم کرنا ہے۔,مجھے معلوم ہے کہ مجھے گولی کاٹنی ہوگی اور اس منصوبے کو آخری تاریخ تک مکمل کرنا ہوگا۔,Karwa ghoont peena,Mujhe maloom hai ke mujhe Karwa ghoont peena hoga aur is mansoobay ko muqarrar waqt tak mukammal karna hoga.,Mujhe maloom hai ke mujhe is nakhushgawar kaam ka saamna karna hai aur is mansoobay ko waqt par khatam karna hai.,Mujhe maloom hai ke mujhe goli kaatni hogi aur is mansoobay ko aakhri tareekh tak mukammal karna hoga.
21,bite the dust,"After a long battle, many soldiers had to bite the dust.",دھول چاٹنا,"ایک طویل جنگ کے بعد، کئی سپاہیوں کو دھول چاٹنی پڑی۔","ایک طویل جنگ کے بعد، کئی سپاہی مارے گئے۔","ایک طویل جنگ کے بعد، کئی سپاہیوں کو مٹی کاٹنی پڑی۔",Dhool chatna,"Ek taweel jang ke baad, kai sipahiyon ko Dhool chatni pari.","Ek taweel jang ke baad, kai sipahi maare gaye.","Ek taweel jang ke baad, kai sipahiyon ko mitti kaatni pari."
22,blaze the trail,"As the first company to adopt renewable energy, they truly blaze the trail for others to follow.",راہ ہموار کرنا,"قابلِ تجدید توانائی اختیار کرنے والی پہلی کمپنی کے طور پر، انہوں نے واقعی دوسروں کے لیے راہ ہموار کی۔","قابلِ تجدید توانائی اختیار کرنے والی پہلی کمپنی کے طور پر، انہوں نے دوسروں کے لیے مثال قائم کی تاکہ وہ بھی ان کے نقشِ قدم پر چلیں۔","قابلِ تجدید توانائی اختیار کرنے والی پہلی کمپنی کے طور پر، انہوں نے واقعی دوسروں کے لیے راستہ جلایا تاکہ وہ پیروی کریں۔",Raah hamwar karna,"Qabil-e-tajdeed tawanai ikhtiyar karne wali pehli company ke tor par, unhon ne waqai doosron ke liye Raah hamwar ki.","Qabil-e-tajdeed tawanai ikhtiyar karne wali pehli company ke tor par, unhon ne doosron ke liye misaal qaim ki taake woh bhi un ke naqsh-e-qadam par chalein.","Qabil-e-tajdeed tawanai ikhtiyar karne wali pehli company ke tor par, unhon ne waqai doosron ke liye rasta jalaya taake woh pairwi karein."
23,blow a fuse,"When he found out that his project had been rejected, he really blew a fuse.",آگ بگولا ہونا,جب اسے پتا چلا کہ اس کا منصوبہ مسترد کر دیا گیا ہے تو وہ آگ بگولا ہو گیا۔,جب اسے معلوم ہوا کہ اس کا منصوبہ مسترد کر دیا گیا ہے تو وہ بہت غصے میں آ گیا۔,جب اسے پتا چلا کہ اس کا منصوبہ مسترد کر دیا گیا ہے تو اس کا فیوز اڑ گیا۔,Aag bagola hona,Jab usay pata chala ke us ka mansooba mustarad kar diya gaya hai to woh Aag bagola hona gaya.,Jab usay maloom hua ke us ka mansooba mustarad kar diya gaya hai to woh bohat gusse mein aa gaya.,Jab usay pata chala ke us ka mansooba mustarad kar diya gaya hai to us ka fuse ur gaya.
24,blow someone's mind,The magician's performance was so incredible that it completely blew my mind.,حیرت کے پہاڑ ٹوٹ پڑنا,جادوگر کا مظاہرہ اتنا شاندار تھا کہ میری حیرت کے پہاڑ ٹوٹ پڑے۔,جادوگر کا مظاہرہ اتنا شاندار تھا کہ میں بے حد حیران اور متاثر ہو گیا۔,جادوگر کا مظاہرہ اتنا شاندار تھا کہ اس نے میرا دماغ اڑا دیا۔,hairat ke pahaar toot parna,Jadugar ka muzahira itna shandaar tha ke meri hairat ke pahaar toot paray.,Jadugar ka muzahira itna shandaar tha ke main behad hairan aur mutasir ho gaya.,Jadugar ka muzahira itna shandaar tha ke us ne mera dimaag uda diya.
25,blow to kingdome come,The explosion blew the enemy soldiers to kingdom come.,جہنم واصل کرنا,دھماکے نے دشمن کے سپاہیوں کو جہنم واصل کر دیا۔,دھماکے نے دشمن کے سپاہیوں کو بہت زور سے مار ڈالا۔,دھماکے نے دشمن کے سپاہیوں کو بادشاہت تک اڑا دیا۔,Jahannum wasil karna,Dhamake ne dushman ke sipahiyon ko Jahannum wasil kar diya.,Dhamake ne dushman ke sipahiyon ko bohat zor se maar dala.,Dhamake ne dushman ke sipahiyon ko badshahat tak uda diya.
26,blow your top,"When he found out that his colleague had taken credit for his work, he really blew his top.",آگ بگولا ہونا,جب اسے پتا چلا کہ اس کے ساتھی نے اس کے کام کا کریڈٹ لے لیا ہے تو وہ آگ بگولا ہو گیا۔,جب اسے معلوم ہوا کہ اس کے ساتھی نے اس کے کام کا سہرا خود لے لیا ہے تو وہ بہت غصے میں آ گیا۔,جب اسے پتا چلا کہ اس کے ساتھی نے اس کے کام کا کریڈٹ لے لیا ہے تو اس نے واقعی اپنا سر اڑا دیا۔,Aag bagola hona,Jab usay pata chala ke us ke saathi ne us ke kaam ka credit le liya hai to woh Aag bagola hona gaya.,Jab usay maloom hua ke us ke saathi ne us ke kaam ka sehra khud le liya hai to woh bohat gusse mein aa gaya.,Jab usay pata chala ke us ke saathi ne us ke kaam ka credit le liya hai to us ne waqai apna sar uda diya.
27,born with a silver spoon,"He was born with a silver spoon, so he never had to worry about money.",منہ میں سونے کا چمچ,"وہ منہ میں سونے کا چمچ لے کر پیدا ہوا تھا، اس لیے اسے کبھی پیسوں کی فکر نہیں ہوئی۔","وہ ایک امیر خاندان میں پیدا ہوا تھا، اس لیے اسے کبھی مالی پریشانی کا سامنا نہیں کرنا پڑا۔","وہ چاندی کے چمچ کے ساتھ پیدا ہوا تھا، اس لیے اسے کبھی پیسوں کی فکر نہیں ہوئی۔",Moonh mein sonay ka chammach,"Woh moonh mein sonay ka chammach le kar paida hua tha, is liye usay kabhi paison ki fikr nahi hui.","Woh aik ameer khandan mein paida hua tha, is liye usay kabhi maali pareshani ka samna nahi karna para.","Woh chaandi ke chammach ke sath paida hua tha, is liye usay kabhi paison ki fikr nahi hui."
28,break the bank,"I didn't want to spend too much on my vacation, but I ended up breaking the bank at the casino.",بینک خالی کر دینا,"میں اپنی چھٹیوں پر زیادہ خرچ نہیں کرنا چاہتا تھا، لیکن آخر میں میں نے کیسینو میں بینک خالی کر دیا۔","میں اپنی چھٹیوں پر زیادہ پیسہ خرچ نہیں کرنا چاہتا تھا، لیکن آخر میں میں نے کیسینو میں سارا پیسہ جیت لیا۔","میں اپنی چھٹیوں پر زیادہ خرچ نہیں کرنا چاہتا تھا، لیکن آخر میں میں نے کیسینو میں بینک توڑ دیا۔",bank khaali kar dena,"Main apni chuttiyon par zyada kharch nahi karna chahta tha, lekin aakhir mein maine casino mein bank khaali kar diya.","Main apni chuttiyon par zyada paisa kharch nahi karna chahta tha, lekin aakhir mein maine casino mein saara paisa jeet liya.","Main apni chuttiyon par zyada kharch nahi karna chahta tha, lekin aakhir mein maine casino mein bank tod diya."
29,break the ice,"To make everyone feel more comfortable at the party, she decided to break the ice with a funny story.",ماحول ہلکا کرنا,"سب کو پارٹی میں زیادہ آرام دہ محسوس کرانے کے لیے، اُس نے ایک مزاحیہ کہانی سنا کر ماحول ہلکا کرنے کا فیصلہ کیا۔","سب کو پارٹی میں زیادہ آرام دہ محسوس کرانے کے لیے، اُس نے ایک مزاحیہ کہانی سنا کر سب کی جھجک دور کرنے کا فیصلہ کیا۔","سب کو پارٹی میں زیادہ آرام دہ محسوس کرانے کے لیے، اُس نے ایک مزاحیہ کہانی سنا کر برف توڑنے کا فیصلہ کیا۔",Mahol halka karna,"Sab ko party mein zyada aaram dah mehsoos karane ke liye, us ne ek mazahiya kahani suna kar Mahol halka karne ka faisla kiya.","Sab ko party mein zyada aaram dah mehsoos karane ke liye, us ne ek mazahiya kahani suna kar sab ki jhijhak door karne ka faisla kiya.","Sab ko party mein zyada aaram dah mehsoos karane ke liye, us ne ek mazahiya kahani suna kar baraf torne ka faisla kiya."
30,break the record,She trained rigorously and was determined to break the record in the upcoming marathon.,سب کو پیچھے چھوڑ دینا,اس نے سخت محنت کی اور پختہ ارادہ کیا کہ آنے والے میراتھن میں سب کو پیچھے چھوڑ دینا ہے۔,اس نے سخت محنت کی اور پختہ ارادہ کیا کہ آنے والے میراتھن میں سب سے بہتر کارکردگی دکھائے گی۔,اس نے سخت محنت کی اور پختہ ارادہ کیا کہ آنے والے میراتھن میں ریکارڈ توڑ دے گی۔,sab ko peeche chhor dena,Us ne sakht mehnat ki aur pukhta irada kiya ke aanay walay marathon mein sab ko peeche chhor dena hai.,Us ne sakht mehnat ki aur pukhta irada kiya ke aanay walay marathon mein sab se behtar karkardagi dikhaye gi.,Us ne sakht mehnat ki aur pukhta irada kiya ke aanay walay marathon mein record tor de gi.
31,bring home the bacon,"After working hard all year, he finally managed to bring home the bacon for his family.",گھر کا چولہا جلانا,"سارا سال محنت کرنے کے بعد، آخرکار اُس نے اپنے خاندان کے لیے گھر کا چولہا جلانے میں کامیابی حاصل کی۔","سارا سال محنت کرنے کے بعد، آخرکار اُس نے اپنے خاندان کے اخراجات پورے کرنے میں کامیابی حاصل کی۔","سارا سال محنت کرنے کے بعد، آخرکار اُس نے اپنے خاندان کے لیے بیکن گھر لانے میں کامیابی حاصل کی۔",Ghar ka chulha jalana,"Sara saal mehnat karne ke baad, aakhirkaar us ne apne khandan ke liye Ghar ka chulha jalane mein kamiyabi hasil ki.","Sara saal mehnat karne ke baad, aakhirkaar us ne apne khandan ke kharchay poore karne mein kamiyabi hasil ki.","Sara saal mehnat karne ke baad, aakhirkaar us ne apne khandan ke liye bacon ghar lane mein kamiyabi hasil ki."
32,burn the midnight oil,I had to burn the midnight oil to finish my project on time.,دن رات ایک کرنا,مجھے اپنا پروجیکٹ وقت پر مکمل کرنے کے لیے دن رات ایک کرنا پڑا۔,مجھے اپنا پروجیکٹ وقت پر مکمل کرنے کے لیے بہت دیر تک جاگ کر کام کرنا پڑا۔,مجھے اپنا پروجیکٹ وقت پر مکمل کرنے کے لیے آدھی رات کا تیل جلانا پڑا۔,Din raat aik karna,Mujhe apna project waqt par mukammal karne ke liye Din raat aik karna para.,Mujhe apna project waqt par mukammal karne ke liye bohat der tak jaag kar kaam karna para.,Mujhe apna project waqt par mukammal karne ke liye aadhi raat ka tail jalana para.
33,bury the hatchet,"After years of fighting, they finally decided to bury the hatchet and become friends again.",صلح صفائی کرنا,"سالوں کی لڑائی کے بعد، انہوں نے آخرکار صلح صفائی کرنے اور دوبارہ دوست بننے کا فیصلہ کیا۔","سالوں کی لڑائی کے بعد، انہوں نے آخرکار جھگڑا ختم کرنے اور دوبارہ دوستی قائم کرنے کا فیصلہ کیا۔","سالوں کی لڑائی کے بعد، انہوں نے آخرکار کلہاڑی دفنانے اور دوبارہ دوست بننے کا فیصلہ کیا۔",sulah safai karna,"Saalon ki larai ke baad, unhon ne aakhirkar sulah safai karne aur dobara dost banne ka faisla kiya.","Saalon ki larai ke baad, unhon ne aakhirkar jhagra khatam karne aur dobara dosti qaim karne ka faisla kiya.","Saalon ki larai ke baad, unhon ne aakhirkar kulhaari dafan karne aur dobara dost banne ka faisla kiya."
34,bust a gut,He really had to bust a gut to finish the project on time.,پاپڑ بیلنا,اسے منصوبہ وقت پر مکمل کرنے کے لیے واقعی پاپڑ بیلنے پڑے۔,اسے منصوبہ وقت پر مکمل کرنے کے لیے بہت زیادہ محنت کرنی پڑی۔,اسے منصوبہ وقت پر مکمل کرنے کے لیے واقعی اپنی آنت پھاڑنی پڑی۔,Papar Belna,Usay mansuba waqt par mukammal karne ke liye waqai Papar Belne paray.,Usay mansuba waqt par mukammal karne ke liye bohat zyada mehnat karni pari.,Usay mansuba waqt par mukammal karne ke liye waqai apni aant pharni pari.
35,by word of mouth,The best way to spread the news about the event is by word of mouth.,زبانی کلامی,تقریب کی خبر پھیلانے کا سب سے اچھا طریقہ زبانی کلامی ہے۔,تقریب کی خبر پھیلانے کا سب سے اچھا طریقہ یہ ہے کہ لوگ ایک دوسرے کو بتائیں۔,تقریب کی خبر پھیلانے کا سب سے اچھا طریقہ لفظ بہ لفظ ہے۔,Zabaani Kalaami,Taqreeb ki khabar phailanay ka sab se acha tareeqa Zabaani Kalaami hai.,Taqreeb ki khabar phailanay ka sab se acha tareeqa yeh hai ke log aik doosray ko batayen.,Taqreeb ki khabar phailanay ka sab se acha tareeqa lafz ba lafz hai.
36,call a meeting,I need to call a meeting to discuss the project updates.,اجلاس بلانا,مجھے منصوبے کی تازہ ترین معلومات پر بات کرنے کے لیے اجلاس بلانا ہے۔,مجھے منصوبے کی تازہ ترین معلومات پر بات کرنے کے لیے لوگوں کو جمع کرنا ہے۔,مجھے منصوبے کی تازہ ترین معلومات پر بات کرنے کے لیے ایک میٹنگ کو فون کرنا ہے۔,ijlaas bulaana,Mujhe mansoobay ki taaza tareen maloomat par baat karne ke liye ijlaas bulaana hai.,Mujhe mansoobay ki taaza tareen maloomat par baat karne ke liye logon ko jama karna hai.,Mujhe mansoobay ki taaza tareen maloomat par baat karne ke liye aik meeting ko phone karna hai.
