Idiom ID,English Idiom,Roman Urdu,Urdu Native
208,pound the pavement,dar dar ki khaak chhaanna,در در کی خاک چھاننا
209,pour one's heart out,dil ka bojh halka karna,دل کا بوجھ ہلکا کرنا
210,praise to the skies,Aasman par charhana,آسمان پر چڑھنا
211,pull someone's leg,Taang kheenchna,ٹانگ کھینچنا
212,pull the plug (on something or someone),Thapp kar dena,تھپ کر دینا
213,pull the rug out from under someone's feet,paon talay se zameen nikal jana,پاؤں تلے سے زمین نکل جانا
214,put the screws on,Shikanja kasna,شکنجہ کسنا
215,rack one's brains,dimaag ke ghoday daurana,دماغ کے گھوڑے دوڑانا
216,it's raining cats and dogs,Mousla Dhar Barish Ho Rahi Hai,موسلا دھار بارش ہو رہی ہے
217,raise an eyebrow,Bhawain tan lena,بھاویں تن لینا
218,raise the roof,Aasman sar par utha lena,آسمان سر پر اٹھا لینا
219,rake over the coals,Garay murday ukhaarna,گڑے مردے اکھاڑنا
220,read between the lines,Baat ki teh tak pohanchna,بات کی تہ تک پہنچنا
221,return the compliment,Jawab mein tareef karna,جواب میں تعریف کرنا
222,ride the storm,Toofan ka muqabla karna,طوفان کا مقابلہ کرنا
223,ring a bell,Kuch suna suna lagna,کچھ سنا سنا لگنا
224,rise to the bait,Chikni chapri baaton mein aa jana,چکنی چپڑی باتوں میں آ جانا
225,rob the cradle,baal bachay ki umar ki larki se shadi karna,بال بچّے کی عمر کی لڑکی سے شادی کرنا
226,rock the boat,Sote sher ko mat jagao,سوتے شیر کو مت جگاؤ
227,rule of thumb,Andazay se karna,اندازے سے کرنا
228,rule the roost,ghar ki malka hona,گھر کی ملکہ ہونا
229,rule with an iron fist,Ahini haathon se nizaam chalana,آہنی ہاتھوں سے نظام چلانا
230,run a mile,jaan churana,جان چُرانا
231,run into the ground,nachor kar rakh dena,نچوڑ کر رکھ دینا
232,run the gauntlet,aag ke darya se guzarna,آگ کے دریا سے گزرنا
233,save the day,nao doobne se bacha li,ناؤ ڈوبنے سے بچا لی
234,save your skin,Apni khal bachana,اپنی کھال بچانا
235,say a mouthful,dil ko choo jana,دل کو چھو جانا
236,say the word,Bas hukm karna,بس حکم کرنا
237,"you scratch my back, I'll scratch yours",Ek hath se lou ek hath se dou,ایک ہاتھ سے لو، ایک ہاتھ سے دو
238,scratch the surface,baat ki teh tak nahi pohnchna,بات کی تہ تک نہیں پہنچنا
239,scream bloody murder,Aasman sar par utha lena,آسمان سر پر اٹھا لینا
240,seal one's fate,apne paon par kulhaari maarna,اپنے پاؤں پر کلہاڑی مارنا
241,see the light,aankhein khul jana,آنکھیں کھل جانا
242,see the world,Duniya dekhna,دنیا دیکھنا
243,seize the opportunity,loha garam hai to haath maar,لوہا گرم ہے تو ہاتھ مار
244,set the pace,Rasta dikhana,راستہ دکھانا
245,set the scene,baat ka pas-e-manzar bayan karna,بات کا پسِ منظر بیان کرنا
246,settle a score,Eent ka jawab pathar se dena,اینٹ کا جواب پتھر سے دینا
247,shoot the breeze,gup shup karna,گپ شپ کرنا
248,show the flag,Apna rang dikhana,اپنا رنگ دکھانا
249,shut your trap,Zaban ko lagam dou,زبان کو لگام دو
250,sit on the fence,Do kashtiyon par paaon rakhna,دو کشتیوں پر پاؤں رکھنا
251,skate on thin ice,Aag se khelna,آگ سے کھیلنا
252,slip one's mind,dimaag se nikal jana,دماغ سے نکل جانا
253,smell a rat,Daal mein kuch kaala hai,دال میں کچھ کالا ہے
254,speak your mind,Dil ki baat kaho,دل کی بات کہو
255,spill the beans,raaz faash karna,راز فاش کرنا
256,spin a yarn,lambi lambi chhorna,لمبی لمبی چھوڑنا
257,split hairs,baal ki khaal utaarna,بال کی کھال اتارنا
258,split the difference,Aadha rasta chalna,آدھا راستہ چلنا
259,stand a chance,umeed ki kiran,امید کی کرن
260,stay the course,Datt ka kharre rhena,ڈٹ کر کھڑے رہنا
261,steal someone's thunder,mera rang pheeka kar diya,میرا رنگ پھیکا کر دیا
262,to stick one's neck out,jaan hathaili par rakhna,جان ہتھیلی پر رکھنا
263,stir the blood,josh khoon mein daur gaya,جوش خون میں دوڑ گیا
264,stretch a point,Lambi phenkna,لمبی پھینکنا
265,strike a bargain,baat tay paana,بات طے پانا
266,strike a chord,dil ko choo jana,دل کو چھو جانا
267,sugar the pill,karwi goli par cheeni charhana,کڑوی گولی پر چینی چڑھانا
268,swallow one's pride,apni ana ko aik taraf rakhna,اپنی انا کو ایک طرف رکھنا
269,sweep the board,Sab ko maat dena,سب کو مات دینا
270,swing the lead,kaam chor banna,کام چور بننا
271,take a spill,munh ke bal girna,منہ کے بل گرنا
272,take someone to the cleaners,kangal kar dena,کنگال کر دینا
273,take the back seat,peeche hat jana,پیچھے ہٹ جانا
274,take the bait,Jaal mein phansna,جال میں پھنسنا
275,take the bull by the horns,Khatray ki aankhon mein aankhein daalna,خطرے کی آنکھوں میں آنکھیں ڈالنا
276,take the cake,Sab par baazi le jana,سب پر بازی لے جانا
277,take the plunge,Maidaan mein koodna,میدان میں کودنا
278,take the stand,Kathaire mein aana,کٹہرے میں آنا
279,take with a grain of salt,Aankh band kar ke yaqeen na karna,آنکھ بند کر کے یقین نہ کرنا
280,talk a mile a minute,Zuban qainchi ki tarah chalna,زبان قینچی کی طرح چلنا
281,throw money out the window,Paisa pani ki tarah bahana,پیسہ پانی کی طرح بہانا
282,tickle the ivories,Piano par ungliyan phirana,پیانو پر انگلیاں پھیرنا
283,tie the knot,shaadi ke bandhan mein bandhnaa,شادی کے بندھن میں بندھنا
284,tip of the iceberg,Yeh to mahez ek jhalak hai,یہ تو محض ایک جھلک ہے
285,tip the balance,palla bhaari hona,پلہ بھاری ہونا
286,tip the scales,pehla qadam uthane,پہلا قدم اٹھانے
287,toe the line,hukm ke aage sar jhukaana,حکم کے آگے سر جھکانا
288,turn the corner,Khatre se bahar aana,خطرے سے باہر آنا
289,turn the tables,Baazi palat dena,بازی پلٹ دینا
290,turn the tide,paansa palat dena,پانسہ پلٹ دینا
291,twist someone's arm,Dabao daalna,دباؤ ڈالنا
292,under someone's thumb,kisi ki mutthi mein hona,کسی کی مٹھی میں ہونا
293,under the weather,Jism toota ja raha hai,جسم ٹوٹا جا رہا ہے
294,up the ante,Daao Barhana,داؤ بڑھانا
295,walk a tightrope,Talwar ki dhaar par chalna,تلوار کی دھار پر چلنا
296,waste your breath,bhains ke aage been bajana,بھینس کے آگے بین بجانا
297,wear the pants,Ghar ki baag dor us ke haath mein hai,گھر کی باگ ڈور اس کے ہاتھ میں ہے
298,weather the storm,toofan ka muqabla karna,طوفان کا مقابلہ کرنا
299,with flying colors,Kamyabi ke jhanday gardaana,کامیابی کے جھنڈے گاڑنا
300,would give the world,jaan dene ko tayyar hona,جان دینے کو تیار ہونا
